name,aliases,ra_hours,dec_degrees,type,category
Polaris,North Star|Alpha UMi,2.530,89.264,star
Sirius,Dog Star|Alpha CMa,6.752,-16.716,star
Betelgeuse,Alpha Ori,5.919,7.407,star
Rigel,Beta Ori,5.242,-8.202,star
Vega,Alpha Lyr,18.615,38.783,star
Altair,Alpha Aql,19.846,8.868,star
Deneb,Alpha Cyg,20.690,45.280,star
Antares,Alpha Sco,16.490,-26.432,star
Arcturus,Alpha Boo,14.261,19.182,star
Capella,Alpha Aur,5.278,45.998,star
Aldebaran,Alpha Tau,4.598,16.509,star
Spica,Alpha Vir,13.420,-11.161,star
Pollux,Beta Gem,7.755,28.026,star
Castor,Alpha Gem,7.576,31.888,star
Procyon,Alpha CMi,7.655,5.225,star
Regulus,Alpha Leo,10.139,11.967,star
Canopus,Alpha Car,6.399,-52.696,star
Achernar,Alpha Eri,1.629,-57.237,star
Bellatrix,Gamma Ori,5.418,6.350,star
Alnilam,Epsilon Ori,5.603,-1.202,star
Alnitak,Zeta Ori,5.679,-1.943,star
Mintaka,Delta Ori,5.533,-0.299,star
Becrux,Beta Cru,12.795,-59.689,star
Acrux,Alpha Cru,12.443,-63.099,star
Fomalhaut,Alpha PsA,22.961,-29.622,star
Denebola,Beta Leo,11.818,14.572,star
Algol,Beta Per,3.136,40.956,star
Mizar,Zeta UMa,13.398,54.925,star
Alcor,80 UMa,13.421,54.988,star
Dubhe,Alpha UMa,11.062,61.751,star
Merak,Beta UMa,11.031,56.382,star
Alioth,Epsilon UMa,12.900,55.960,star
Alkaid,Eta UMa,13.792,49.313,star
Megrez,Delta UMa,12.257,57.033,star
Phecda,Gamma UMa,11.897,53.695,star
Mirfak,Alpha Per,3.405,49.861,star
Alderamin,Alpha Cep,21.309,62.585,star
Scheat,Beta Peg,23.063,28.083,star
Markab,Alpha Peg,23.079,15.205,star
Alpheratz,Alpha And,0.140,29.091,star
Hamal,Alpha Ari,2.120,23.462,star
Rasalhague,Alpha Oph,17.582,12.560,star
Shaula,Lambda Sco,17.560,-37.104,star
Kaus Australis,Epsilon Sgr,18.403,-34.385,star
Nunki,Sigma Sgr,18.921,-26.297,star
Altais,Delta Dra,19.209,67.662,star
Thuban,Alpha Dra,14.073,64.376,star
Eltanin,Gamma Dra,17.943,51.489,star
Alphecca,Alpha CrB,15.578,26.715,star
Albireo,Beta Cyg,19.512,27.960,star
